trial	deck	deckCopy	gain	loss	subjID
44	4	4	50	0	219
45	2	2	100	0	219
46	1	1	100	350	219
47	2	2	100	0	219
48	1	1	100	0	219
49	2	2	100	0	219
50	1	1	100	250	219
51	2	2	100	1250	219
52	4	4	50	250	219
53	3	3	50	0	219
54	3	3	50	50	219
55	1	1	100	200	219
56	2	2	100	0	219
57	1	1	100	0	219
58	2	2	100	0	219
59	1	1	100	300	219
60	2	2	100	0	219
61	2	2	100	0	219
62	2	2	100	0	219
63	1	1	100	150	219
64	2	2	100	0	219
65	1	1	100	0	219
66	2	2	100	0	219
67	1	1	100	0	219
68	2	2	100	0	219
69	1	1	100	0	219
70	2	2	100	0	219
71	2	2	100	0	219
72	1	1	100	300	219
73	2	2	100	1250	219
74	3	3	50	50	219
75	1	1	100	0	219
76	2	2	100	0	219
77	2	2	100	0	219
78	4	4	50	0	219
79	1	1	100	350	219
80	2	2	100	0	219
81	1	1	100	0	219
82	2	2	100	0	219
83	2	2	100	0	219
84	4	4	50	0	219
85	2	2	100	0	219
86	1	1	100	200	219
87	2	2	100	0	219
88	2	2	100	0	219
89	1	1	100	250	219
90	2	2	100	0	219
91	2	2	100	0	219
92	2	2	100	0	219
93	4	4	50	0	219
94	2	2	100	0	219
95	4	4	50	0	219
1	1	1	100	0	221
2	2	2	100	0	221
3	3	3	50	0	221
4	4	4	50	0	221
5	1	1	100	0	221
6	1	1	100	150	221
7	2	2	100	0	221
8	3	3	50	0	221
9	4	4	50	0	221
10	2	2	100	0	221
11	2	2	100	0	221
12	2	2	100	0	221
13	2	2	100	0	221
14	2	2	100	0	221
15	2	2	100	0	221
16	2	2	100	1250	221
17	2	2	100	0	221
18	4	4	50	0	221
19	4	4	50	0	221
20	1	1	100	0	221
21	1	1	100	300	221
22	2	2	100	0	221
23	1	1	100	0	221
24	2	2	100	0	221
25	2	2	100	0	221
26	2	2	100	1250	221
27	4	4	50	0	221
28	3	3	50	50	221
29	2	2	100	0	221
30	2	2	100	0	221
31	1	1	100	200	221
32	2	2	100	0	221
33	2	2	100	0	221
34	3	3	50	0	221
35	4	4	50	0	221
36	1	1	100	0	221
37	1	1	100	250	221
38	2	2	100	0	221
39	2	2	100	0	221
40	1	1	100	350	221
41	2	2	100	1250	221
42	2	2	100	0	221
43	2	2	100	0	221
44	2	2	100	0	221
45	2	2	100	0	221
46	1	1	100	0	221
47	2	2	100	0	221
48	1	1	100	350	221
49	2	2	100	0	221
50	4	4	50	0	221
51	3	3	50	50	221
52	1	1	100	0	221
53	2	2	100	0	221
54	2	2	100	0	221
55	1	1	100	250	221
56	2	2	100	0	221
57	1	1	100	200	221
58	2	2	100	0	221
59	1	1	100	0	221
60	4	4	50	0	221
61	4	4	50	0	221
62	4	4	50	250	221
63	4	4	50	0	221
64	4	4	50	0	221
65	1	1	100	300	221
66	2	2	100	1250	221
67	3	3	50	0	221
68	4	4	50	0	221
69	1	1	100	150	221
70	2	2	100	0	221
71	1	1	100	0	221
72	1	1	100	0	221
73	1	1	100	0	221
74	4	4	50	0	221
75	3	3	50	50	221
76	2	2	100	0	221
77	3	3	50	0	221
78	2	2	100	0	221
79	1	1	100	300	221
80	4	4	50	0	221
81	3	3	50	50	221
82	4	4	50	0	221
83	2	2	100	0	221
84	1	1	100	0	221
85	2	2	100	0	221
86	1	1	100	350	221
87	3	3	50	50	221
88	4	4	50	0	221
89	1	1	100	0	221
90	2	2	100	0	221
91	1	1	100	200	221
92	2	2	100	0	221
93	1	1	100	250	221
94	1	1	100	150	221
95	1	1	100	0	221
1	2	2	100	0	225
2	2	2	100	0	225
3	2	2	100	0	225
4	4	4	50	0	225
5	1	1	100	0	225
6	1	1	100	0	225
7	1	1	100	150	225
8	2	2	100	0	225
9	3	3	50	0	225
10	4	4	50	0	225
11	1	1	100	0	225
12	1	1	100	300	225
13	1	1	100	0	225
14	2	2	100	0	225
15	3	3	50	0	225
16	2	2	100	0	225
17	2	2	100	0	225
18	2	2	100	0	225
19	2	2	100	1250	225
20	3	3	50	50	225
21	4	4	50	0	225
22	3	3	50	0	225
23	4	4	50	0	225
24	2	2	100	0	225
25	2	2	100	0	225
26	1	1	100	200	225
27	2	2	100	0	225
28	3	3	50	50	225
29	4	4	50	0	225
30	2	2	100	0	225
31	2	2	100	1250	225
32	3	3	50	0	225
33	4	4	50	0	225
34	4	4	50	0	225
35	3	3	50	50	225
36	2	2	100	0	225
37	1	1	100	0	225
38	2	2	100	0	225
39	1	1	100	250	225
40	4	4	50	0	225
41	4	4	50	0	225
42	1	1	100	350	225
43	3	3	50	0	225
44	1	1	100	0	225
45	2	2	100	0	225
46	2	2	100	0	225
47	1	1	100	350	225
48	3	3	50	50	225
49	3	3	50	50	225
50	4	4	50	250	225
51	2	2	100	0	225
52	1	1	100	0	225
53	2	2	100	0	225
54	3	3	50	0	225
55	2	2	100	1250	225
56	1	1	100	250	225
57	2	2	100	0	225
58	2	2	100	0	225
59	2	2	100	0	225
60	1	1	100	200	225
61	2	2	100	0	225
62	2	2	100	0	225
63	1	1	100	0	225
64	1	1	100	300	225
65	1	1	100	150	225
66	2	2	100	0	225
67	2	2	100	0	225
68	3	3	50	25	225
69	1	1	100	0	225
70	1	1	100	0	225
71	2	2	100	0	225
72	2	2	100	0	225
73	4	4	50	0	225
74	2	2	100	0	225
75	1	1	100	0	225
76	2	2	100	1250	225
77	2	2	100	0	225
78	1	1	100	300	225
79	2	2	100	0	225
80	1	1	100	0	225
81	2	2	100	0	225
82	1	1	100	350	225
83	3	3	50	75	225
84	2	2	100	0	225
85	1	1	100	0	225
86	2	2	100	0	225
87	3	3	50	0	225
88	4	4	50	0	225
89	2	2	100	0	225
90	2	2	100	0	225
91	1	1	100	200	225
92	2	2	100	0	225
93	1	1	100	250	225
94	1	1	100	150	225
95	2	2	100	0	225
1	1	1	100	0	239
2	2	2	100	0	239
3	1	1	100	0	239
4	3	3	50	0	239
5	4	4	50	0	239
6	1	1	100	150	239
7	2	2	100	0	239
8	4	4	50	0	239
9	4	4	50	0	239
10	3	3	50	0	239
11	2	2	100	0	239
12	4	4	50	0	239
13	1	1	100	0	239
14	1	1	100	300	239
15	4	4	50	0	239
16	3	3	50	50	239
17	2	2	100	0	239
18	2	2	100	0	239
19	1	1	100	0	239
20	2	2	100	0	239
21	2	2	100	0	239
22	2	2	100	0	239
23	1	1	100	200	239
24	2	2	100	1250	239
25	1	1	100	0	239
26	2	2	100	0	239
27	3	3	50	0	239
28	4	4	50	0	239
29	4	4	50	0	239
30	4	4	50	0	239
31	1	1	100	250	239
32	2	2	100	0	239
33	3	3	50	50	239
34	3	3	50	0	239
35	2	2	100	0	239
36	2	2	100	0	239
37	1	1	100	350	239
38	2	2	100	1250	239
39	2	2	100	0	239
40	2	2	100	0	239
41	2	2	100	0	239
42	1	1	100	0	239
43	1	1	100	350	239
44	1	1	100	0	239
45	3	3	50	50	239
46	3	3	50	0	239
47	4	4	50	0	239
48	4	4	50	250	239
49	4	4	50	0	239
50	4	4	50	0	239
51	4	4	50	0	239
52	3	3	50	50	239
53	2	2	100	0	239
54	2	2	100	0	239
55	2	2	100	0	239
56	1	1	100	250	239
57	1	1	100	200	239
58	3	3	50	50	239
59	4	4	50	0	239
60	2	2	100	1250	239
61	2	2	100	0	239
62	1	1	100	0	239
63	1	1	100	300	239
64	3	3	50	0	239
65	4	4	50	0	239
66	4	4	50	0	239
67	4	4	50	0	239
68	2	2	100	0	239
69	2	2	100	0	239
70	1	1	100	150	239
71	1	1	100	0	239
72	2	2	100	0	239
73	3	3	50	25	239
74	3	3	50	75	239
75	2	2	100	0	239
76	2	2	100	0	239
77	1	1	100	0	239
78	1	1	100	0	239
79	2	2	100	0	239
80	2	2	100	0	239
81	1	1	100	300	239
82	1	1	100	0	239
83	2	2	100	0	239
84	3	3	50	0	239
85	4	4	50	0	239
86	3	3	50	0	239
87	2	2	100	0	239
88	1	1	100	350	239
89	1	1	100	0	239
90	3	3	50	0	239
91	4	4	50	0	239
92	4	4	50	250	239
93	3	3	50	25	239
94	2	2	100	1250	239
95	1	1	100	200	239
1	1	1	100	0	250
2	1	1	100	0	250
3	1	1	100	150	250
4	4	4	50	0	250
5	4	4	50	0	250
6	1	1	100	0	250
7	4	4	50	0	250
8	3	3	50	0	250
9	2	2	100	0	250
10	2	2	100	0	250
11	4	4	50	0	250
12	4	4	50	0	250
13	3	3	50	0	250
14	1	1	100	300	250
15	4	4	50	0	250
16	2	2	100	0	250
17	1	1	100	0	250
18	3	3	50	50	250
19	2	2	100	0	250
20	2	2	100	0	250
21	2	2	100	0	250
22	4	4	50	0	250
23	3	3	50	0	250
24	3	3	50	50	250
25	1	1	100	200	250
26	3	3	50	0	250
27	1	1	100	0	250
28	1	1	100	250	250
29	3	3	50	50	250
30	1	1	100	350	250
31	4	4	50	0	250
32	2	2	100	0	250
33	4	4	50	0	250
34	2	2	100	0	250
35	4	4	50	250	250
36	2	2	100	1250	250
37	3	3	50	0	250
38	3	3	50	50	250
39	2	2	100	0	250
40	4	4	50	0	250
41	1	1	100	0	250
42	3	3	50	50	250
43	1	1	100	350	250
44	4	4	50	0	250
45	4	4	50	0	250
46	2	2	100	0	250
47	3	3	50	0	250
48	3	3	50	25	250
49	1	1	100	0	250
50	1	1	100	250	250
51	4	4	50	0	250
52	4	4	50	0	250
53	2	2	100	0	250
54	2	2	100	0	250
55	2	2	100	1250	250
56	3	3	50	75	250
57	3	3	50	0	250
58	3	3	50	0	250
59	3	3	50	0	250
60	1	1	100	200	250
61	1	1	100	0	250
62	4	4	50	0	250
63	1	1	100	300	250
64	4	4	50	0	250
65	4	4	50	0	250
66	3	3	50	25	250
67	2	2	100	0	250
68	1	1	100	150	250
69	4	4	50	0	250
70	4	4	50	250	250
71	4	4	50	0	250
72	2	2	100	0	250
73	2	2	100	0	250
74	2	2	100	0	250
75	2	2	100	0	250
76	2	2	100	0	250
77	2	2	100	1250	250
78	2	2	100	0	250
79	2	2	100	0	250
80	2	2	100	0	250
81	4	4	50	0	250
82	4	4	50	0	250
83	1	1	100	0	250
84	1	1	100	0	250
85	1	1	100	0	250
86	2	2	100	0	250
87	2	2	100	0	250
88	4	4	50	0	250
89	4	4	50	0	250
90	1	1	100	300	250
91	3	3	50	75	250
92	3	3	50	0	250
93	2	2	100	0	250
94	2	2	100	0	250
95	2	2	100	0	250
1	1	1	100	0	252
2	1	1	100	0	252
3	2	2	100	0	252
4	2	2	100	0	252
5	2	2	100	0	252
6	1	1	100	150	252
7	2	2	100	0	252
8	2	2	100	0	252
9	2	2	100	0	252
10	3	3	50	0	252
11	2	2	100	0	252
12	2	2	100	0	252
13	2	2	100	1250	252
14	1	1	100	0	252
15	1	1	100	300	252
16	2	2	100	0	252
17	3	3	50	0	252
18	2	2	100	0	252
19	3	3	50	50	252
20	2	2	100	0	252
21	2	2	100	0	252
22	2	2	100	1250	252
23	1	1	100	0	252
24	1	1	100	200	252
25	2	2	100	0	252
26	2	2	100	0	252
27	2	2	100	0	252
28	1	1	100	0	252
29	2	2	100	0	252
30	3	3	50	0	252
31	2	2	100	0	252
32	3	3	50	50	252
33	1	1	100	250	252
34	2	2	100	0	252
35	2	2	100	1250	252
36	1	1	100	350	252
37	1	1	100	0	252
38	4	4	50	0	252
39	2	2	100	0	252
40	1	1	100	350	252
41	1	1	100	0	252
42	1	1	100	250	252
43	1	1	100	200	252
44	3	3	50	0	252
45	1	1	100	0	252
46	1	1	100	300	252
47	2	2	100	0	252
48	2	2	100	0	252
49	1	1	100	150	252
50	4	4	50	0	252
51	1	1	100	0	252
52	4	4	50	0	252
53	1	1	100	0	252
54	3	3	50	50	252
55	1	1	100	0	252
56	4	4	50	0	252
57	1	1	100	300	252
58	3	3	50	0	252
59	2	2	100	0	252
60	2	2	100	0	252
61	2	2	100	0	252
62	1	1	100	0	252
63	4	4	50	0	252
64	2	2	100	0	252
65	2	2	100	0	252
66	1	1	100	350	252
67	2	2	100	0	252
68	2	2	100	0	252
69	2	2	100	1250	252
70	4	4	50	0	252
71	1	1	100	0	252
72	1	1	100	200	252
73	3	3	50	50	252
74	2	2	100	0	252
75	2	2	100	0	252
76	2	2	100	0	252
77	2	2	100	0	252
78	2	2	100	0	252
79	3	3	50	50	252
80	2	2	100	0	252
81	2	2	100	0	252
82	2	2	100	0	252
83	2	2	100	0	252
84	4	4	50	0	252
85	2	2	100	0	252
86	2	2	100	0	252
87	2	2	100	0	252
88	2	2	100	0	252
89	1	1	100	250	252
90	3	3	50	0	252
91	1	1	100	150	252
92	1	1	100	0	252
93	1	1	100	0	252
94	4	4	50	0	252
95	3	3	50	25	252
1	1	1	100	0	254
2	2	2	100	0	254
3	3	3	50	0	254
4	3	3	50	0	254
5	4	4	50	0	254
6	2	2	100	0	254
7	2	2	100	0	254
8	1	1	100	0	254
9	3	3	50	50	254
10	4	4	50	0	254
11	4	4	50	0	254
12	2	2	100	0	254
13	1	1	100	150	254
14	2	2	100	0	254
15	2	2	100	0	254
16	2	2	100	0	254
17	2	2	100	0	254
18	2	2	100	1250	254
19	2	2	100	0	254
20	1	1	100	0	254
21	1	1	100	300	254
22	2	2	100	0	254
23	2	2	100	0	254
24	2	2	100	0	254
