trial	deck	deckCopy	gain	loss	subjID
19	2	2	100	1250	115
20	2	2	100	0	115
21	1	1	100	0	115
22	4	4	50	0	115
23	3	3	50	0	115
24	4	4	50	0	115
25	3	3	50	50	115
26	2	2	100	0	115
27	1	1	100	300	115
28	4	4	50	0	115
29	4	4	50	0	115
30	3	3	50	0	115
31	4	4	50	0	115
32	3	3	50	50	115
33	4	4	50	250	115
34	4	4	50	0	115
35	4	4	50	0	115
36	4	4	50	0	115
37	3	3	50	0	115
38	3	3	50	50	115
39	3	3	50	50	115
40	4	4	50	0	115
41	3	3	50	0	115
42	4	4	50	0	115
43	4	4	50	0	115
44	3	3	50	25	115
45	4	4	50	0	115
46	2	2	100	0	115
47	2	2	100	0	115
48	4	4	50	0	115
49	4	4	50	0	115
50	3	3	50	75	115
51	4	4	50	250	115
52	3	3	50	0	115
53	4	4	50	0	115
54	4	4	50	0	115
55	3	3	50	0	115
56	4	4	50	0	115
57	4	4	50	0	115
58	4	4	50	0	115
59	4	4	50	0	115
60	1	1	100	0	115
61	4	4	50	0	115
62	4	4	50	0	115
63	2	2	100	1250	115
64	3	3	50	0	115
65	4	4	50	250	115
66	4	4	50	0	115
67	2	2	100	0	115
68	3	3	50	25	115
69	4	4	50	0	115
70	2	2	100	0	115
71	2	2	100	0	115
72	4	4	50	0	115
73	4	4	50	0	115
74	2	2	100	0	115
75	4	4	50	0	115
76	3	3	50	75	115
77	4	4	50	250	115
78	4	4	50	0	115
79	4	4	50	0	115
80	4	4	50	0	115
81	4	4	50	0	115
82	4	4	50	0	115
83	3	3	50	0	115
84	4	4	50	0	115
85	4	4	50	0	115
86	4	4	50	0	115
87	4	4	50	0	115
88	4	4	50	0	115
89	3	3	50	50	115
90	4	4	50	0	115
91	4	4	50	0	115
92	4	4	50	0	115
93	4	4	50	0	115
94	4	4	50	250	115
95	4	4	50	0	115
1	1	1	100	0	116
2	2	2	100	0	116
3	3	3	50	0	116
4	4	4	50	0	116
5	4	4	50	0	116
6	3	3	50	0	116
7	2	2	100	0	116
